Year,Field,Distance,Plant,VegMass,SeedMass,Branch,Pods,Missing,SeedCount,PodCount1,PodMass1,PodCount2,PodMass2,PodCount3,PodMass3,PodCount4,PodMass4,PodCount5,PodMass5
2014,16,5,1,34.7694,6.4206,5,303,41,NA,18,0.0388,16,0.0499,12,0.0421,12,0.023,16,0.0595
2014,16,5,2,24.3946,7.2754,5,176,48,NA,21,0.067,27,0.0405,12,0.0205,19,0.0677,26,0.0857
2014,16,5,5,31.4648,11.4952,8,266,44,NA,23,0.0631,18,0.0422,24,0.0736,21,0.0438,16,0.0298
2014,16,20,1,5.7207,1.9093,2,58,32,NA,26,0.037,18,0.0195,30,0.0526,25,0.035,23,0.082
2014,16,20,3,15.5009,6.7491,4,133,44,NA,23,0.0837,18,0.041,23,0.049,27,0.0394,22,0.0464
2014,16,20,5,6.2665,0.9935,2,48,12,NA,22,0.0348,21,0.0271,13,0.012,18,0.0217,24,0.0462
2014,16,100,1,22.1624,8.3676,5,165,24,NA,18,0.077,26,0.0805,19,0.0721,25,0.0878,28,0.0743
2014,16,100,2,22.0313,8.6087,6,156,66,NA,19,0.056,29,0.0923,24,0.0807,24,0.0661,20,0.0683
2014,16,100,4,9.3022,3.6778,4,83,38,NA,21,0.0658,25,0.0825,17,0.045,21,0.0533,24,0.0552
2014,16,500,1,6.9471,2.6729,2,61,22,NA,20,0.045,22,0.046,21,0.0391,22,0.0611,24,0.0626
2014,16,500,3,6.1623,1.3277,3,45,15,NA,28,0.0282,27,0.0644,26,0.0708,20,0.0561,28,0.0834
2014,16,500,4,26.8752,5.7748,7,184,66,NA,23,0.0675,21,0.0434,27,0.0521,28,0.0652,26,0.0522
2014,12,5,1,27.0516,9.4784,6,193,26,NA,23,0.073,23,0.0846,31,0.059,30,0.0335,27,0.0887
2014,12,5,2,11.5907,2.8493,4,93,33,NA,20,0.0495,17,0.0112,20,0.0141,18,0.0168,28,0.0683
2014,12,5,5,18.3474,4.9626,6,142,46,NA,12,0.0153,26,0.0618,18,0.0155,29,0.077,24,0.0517
2014,12,20,1,16.0005,4.7595,6,153,16,NA,31,0.0476,21,0.0332,20,0.0478,5,0.0144,19,0.0739
2014,12,20,3,29.4812,10.4388,7,219,28,NA,19,0.0308,26,0.0516,27,0.0568,8,0.013,26,0.091
2014,12,20,4,11.0524,3.2776,4,103,23,NA,25,0.0271,24,0.0454,24,0.0379,25,0.0453,19,0.0295
2014,12,100,1,9.0639,2.2361,4,90,32,NA,15,0.0336,18,0.0222,11,0.0147,21,0.0417,25,0.04
2014,12,100,4,11.2733,3.4067,4,88,18,NA,24,0.0293,24,0.0654,21,0.0456,24,0.0672,25,0.0588
2014,12,100,5,9.019,3.101,6,85,17,NA,23,0.0459,18,0.0341,23,0.0501,19,0.0387,13,0.0315
2014,12,500,1,0.8483,0.1717,0,19,2,NA,4,0.0056,9,0.0124,7,0.0098,9,0.018,10,0.0128
2014,12,500,3,5.9755,1.4345,2,75,27,NA,19,0.034,10,0.0073,22,0.0447,15,0.0355,15,0.0273
2014,12,500,5,3.1729,0.8371,2,34,11,NA,18,0.0436,16,0.0301,17,0.028,18,0.0365,14,0.0256
2014,9,5,2,1.4817,0.3183,1,12,7,NA,13,0.0161,17,0.0232,20,0.0294,NA,NA,NA,NA
2014,9,5,3,NA,NA,3,52,25,NA,33,0.0675,23,0.0488,18,0.0318,22,0.0412,24,0.0448
2014,9,5,4,9.4661,3.0039,4,88,46,NA,7,0.0235,24,0.0457,21,0.0385,22,0.0369,27,0.0503
2014,9,20,2,4.0985,0.8815,3,34,13,NA,24,0.0549,8,0.0124,13,0.0143,10,0.0105,16,0.0158
2014,9,20,3,6.2849,2.1051,2,49,24,NA,25,0.0488,22,0.0419,16,0.0122,27,0.0567,28,0.0715
2014,9,20,5,3.0848,0.8352,1,28,4,NA,29,0.0351,17,0.0172,17,0.0147,26,0.0425,29,0.0438
2014,9,100,2,14.2762,3.7238,5,115,38,NA,17,0.017,28,0.0312,28,0.0801,26,0.0176,28,0.0628
2014,9,100,3,18.1225,6.1775,3,171,47,NA,25,0.0431,18,0.0271,22,0.0357,28,0.0612,25,0.0195
2014,9,100,5,5.5032,1.1768,1,51,32,NA,6,0.0115,25,0.0489,20,0.0371,26,0.0473,30,0.046
2014,9,500,1,15.451,5.509,5,136,22,NA,17,0.0316,21,0.0449,24,0.0351,17,0.0271,23,0.051
2014,9,500,2,7.94,1.44,1,68,11,NA,11,0.0139,23,0.0398,31,0.0533,20,0.0315,26,0.0539
2014,9,500,4,4.099,0.441,2,45,14,NA,8,0.0058,5,0.002,14,0.0197,6,0.005,17,0.0234
2014,31,1,1,38.1426,14.7574,7,384,91,8048,13,0.027,31,0.0487,22,0.0488,19,0.0343,9,0.0143
2014,31,1,2,23.2859,12.9141,7,229,45,4926,28,0.0401,29,0.0897,26,0.0897,26,0.056,21,0.034
2014,31,1,3,23.9901,8.5099,7,228,92,4499,29,0.0362,37,0.0861,27,0.0376,30,0.0435,22,0.0224
2014,31,1,4,14.0752,8.4248,4,169,52,3281,29,0.0909,31,0.0813,38,0.0995,36,0.074,26,0.0334
2014,31,1,5,18.9071,5.1929,8,149,122,3119,46,0.038,30,0.0568,28,0.0645,23,0.0117,15,0.015
2014,31,5,1,10.2702,5.5298,5,110,82,2324,27,0.0458,28,0.0697,24,0.0716,35,0.0632,21,0.0248
2014,31,5,2,14.6884,8.1116,5,144,59,3135,29,0.0716,28,0.0686,24,0.0575,29,0.0783,12,0.0238
2014,31,5,3,11.1836,3.7164,4,97,67,1553,19,0.0645,2,0.0235,20,0.0384,8,0.005,21,0.029
2014,31,5,4,17.1216,9.2784,6,155,61,3421,15,0.0492,13,0.0491,24,0.0439,26,0.0574,32,0.0336
