"Field","Distance","minDist","Bay","EdgeCent","Date","StartTime","TotalTime","FlDens","lbee","hbee","otherBee","hFly","AirTemp","WindSp","RH","Year","PlDens"
38,100,3,"F","Edge",2015-07-23,NA,10,512,47,22,NA,NA,NA,NA,NA,2015,NA
38,100,3,"M","Edge",2015-07-23,NA,10,800,58,18,NA,NA,NA,NA,NA,2015,NA
38,270,6,"F","Edge",2015-07-23,NA,10,NA,0,0,NA,NA,NA,NA,NA,2015,NA
38,270,6,"M","Edge",2015-07-23,NA,10,560,23,13,NA,NA,NA,NA,NA,2015,NA
38,318,46,"F","Edge",2015-07-23,NA,10,236.8,1,37,NA,NA,NA,NA,NA,2015,NA
38,318,46,"M","Edge",2015-07-23,NA,10,528,0,55,NA,NA,NA,NA,NA,2015,NA
38,134,65,"F","Edge",2015-07-23,NA,10,710.4,2,87,NA,NA,NA,NA,NA,2015,NA
38,134,65,"M","Edge",2015-07-23,NA,10,597.6,1,95,NA,NA,NA,NA,NA,2015,NA
39,84,3,"F","Edge",2015-07-20,NA,10,408.8,2,17,NA,NA,NA,NA,NA,2015,NA
39,84,3,"M","Edge",2015-07-20,NA,10,NA,0,0,NA,NA,NA,NA,NA,2015,NA
39,330,39,"F","Edge",2015-07-20,NA,10,1865.6,3,15,NA,NA,NA,NA,NA,2015,NA
39,330,39,"M","Edge",2015-07-20,NA,10,1220,3,0,NA,NA,NA,NA,NA,2015,NA
39,81,51,"F","Edge",2015-07-20,NA,10,1196,0,33,NA,NA,NA,NA,NA,2015,NA
39,81,51,"M","Edge",2015-07-20,NA,10,912,0,8,NA,NA,NA,NA,NA,2015,NA
40,24,5,"F","Edge",2015-07-18,NA,10,942.4,212,7,NA,NA,NA,NA,NA,2015,NA
40,24,5,"M","Edge",2015-07-18,NA,10,736,156,29,NA,NA,NA,NA,NA,2015,NA
40,220,41,"F","Edge",2015-07-18,NA,10,1060,1,7,NA,NA,NA,NA,NA,2015,NA
40,220,41,"M","Edge",2015-07-18,NA,10,1444.8,2,0,NA,NA,NA,NA,NA,2015,NA
40,70,75,"F","Edge",2015-07-18,NA,10,1447.2,2,13,NA,NA,NA,NA,NA,2015,NA
40,70,75,"M","Edge",2015-07-18,NA,10,554.4,3,71,NA,NA,NA,NA,NA,2015,NA
8,315,3,"F","Edge",2015-07-06,NA,10,720.8,41,0,NA,NA,NA,NA,NA,2015,NA
8,100,3,"F","Edge",2015-07-06,NA,10,633.6,8,1,NA,NA,NA,NA,NA,2015,NA
