fileName,parName,dependent,independent,conditioning set,mean,sd,median,upr,lwr,pval,status,
seedMod_claim1,slopePlDens2016,plDens,is2016, hbeeDist,0.213668,0.118449,0.2161151,0.4363465,-0.04012862,0.0712,Done,1.14752000636314
seedMod_claim2,slopePlDensCent,plDens,isCent, hbeeDist,-0.02865191,0.04154649,-0.02801282,0.0489708,-0.1108978,0.4904,Done,0.309449538489641
NA,NA,plDens,isMbay, hbeeDist,NA,NA,NA,NA,NA,NA,"Impossible claim, since plants not measured in male bay",
seedMod_claim4,slopePlDensLbeeDist,plDens,lbeeDist, hbeeDist,-0.02616986,0.04361387,-0.02664582,0.0560665,-0.1116259,0.5485,Done,0.26082336808927
seedMod_claim5,slopePlDensStocking,plDens,lbeeStocking, hbeeDist,0.0404049,0.13731,0.02412066,0.3205721,-0.2138551,0.7686,Done,0.11429961987167
seedMod_claim6,slope2016PlSize,plSize,is2016," hbeeDist, plDens",-0.028129839,0.05687575,-0.025868568,0.0815694,-0.13299565,0.6209,Done,0.206978340154017
seedMod_claim7,slopeCentPlSize,plSize,isCent," hbeeDist, plDens",0.049457598,0.04672125,0.049952345,0.13788481,-0.03993156,0.2898,Done,0.537901618864844
NA,NA,plSize,isMbay," hbeeDist, plDens",NA,NA,NA,NA,NA,NA,"Impossible claim, since plants not measured in male bay",
seedMod_claim9,slopeLbeeDistPlSize,plSize,lbeeDist," hbeeDist, plDens",-0.028583847,0.05027073,-0.031690862,0.08384388,-0.11573173,0.5696,Done,0.2444300193712
seedMod_claim10,slopeStockingPlSize,plSize,lbeeStocking," hbeeDist, plDens",-0.003812291,0.06179116,-0.004628505,0.12246135,-0.1247206,0.9508,Done,0.021910826943857
seedMod_claim11,slopeCentFlDens,flDens,isCent," hbeeDist, is2016, isMbay, plSize",0.3000044,0.5731569,0.30621036,1.4268477,-0.8603522,0.6007,Done,0.221342368052645
seedMod_claim12,slopeLbeeDistFlDens,flDens,lbeeDist," hbeeDist, is2016, isMbay, plSize",-0.0550335,0.2252111,-0.06099663,0.3946206,-0.4922833,0.8069,Done,0.093180284533455
seedMod_claim13,slopeStockingFlDens,flDens,lbeeStocking," hbeeDist, is2016, isMbay, plSize",0.5846735,1.0947423,0.57373879,2.5729989,-1.6922691,0.5933,Done,0.226725651662546
seedMod_claim14,slopePlDensFlDens,flDens,plDens," hbeeDist, is2016, isMbay, plSize",-0.6776071,1.9524784,-0.72320344,3.1417791,-4.6232381,0.7286,Done,0.137510833094103
seedMod_claim15,slopePlDensLbeeVis,lbeeVis,plDens," flDens, hbeeDist, is2016, isCent, isMbay, lbeeDist, lbeeStocking",-0.2150105,0.4571609,-0.2170617,0.7302475,-1.103191,0.6381,Done,0.195111255377609
seedMod_claim16,slopePlSizeLbeeVis,lbeeVis,plSize," flDens, hbeeDist, is2016, isCent, isMbay, lbeeDist, lbeeStocking, plDens",-2.7835325,2.6912602,-2.8055196,2.624476,-8.336058,0.301,Done,0.521433504406157
seedMod_claim17,slope2016HbeeVis,hbeeVis,is2016," flDens, hbeeDist, isCent, isMbay, lbeeDist, lbeeVis",0.08131177,0.1825143,0.08544553,0.4204757,-0.2625545,0.656,Done,0.18309616062434
seedMod_claim18,slopeStockingHbeeVis,hbeeVis,lbeeStocking," flDens, hbeeDist, isCent, isMbay, lbeeDist, lbeeVis",0.07718717,0.1894928,0.06304476,0.4639316,-0.2880507,0.6838,Done,0.165070903539424
seedMod_claim19,slopePlDensHbeeVis,hbeeVis,plDens," flDens, hbeeDist, isCent, isMbay, lbeeDist, lbeeVis",0.05972067,0.2171932,0.06938003,0.456825,-0.3775444,0.7833,Done,0.106071873457393
