Filename,Independ.Claim,param,mean,sd,Z,median,lwr,upr,pval,n_eff,Rhat,Notes
seed_claim01,flDens ~ cent + (hbeeDist),claim01_slopeCentFlDens,0.292,0.514,0.567,0.283,-0.707,1.278,0.5708,11923,0.999,NA
seed_claim02,flDens ~ lbeeDist + (hbeeDist),claim02_slopeLbeeDistFlDens,0.026,0.24,0.108,0.026,-0.437,0.492,0.9137,8422,1,NA
seed_claim03,flDens ~ plDens + (hbeeDist),claim03_slopePlDensFlDens,-0.284,0.603,-0.471,-0.281,-1.462,0.87,0.6378,2358,1.001,NA
seed_claim04,flDens ~ plSize + (hbeeDist),claim04_slopePlSizeFlDens,0.392,0.747,0.525,0.381,-1.056,1.86,0.5999,1775,1,NA
seed_claim05,plDens ~ cent + (hbeeDist),claim05_slopeCentPlDens,-0.025,0.039,-0.636,-0.025,-0.102,0.051,0.5248,9628,1,NA
seed_claim06,plDens ~ lbeeDist + (hbeeDist),claim06_slopeLbeeDistPlDens,-0.02,0.045,-0.43,-0.02,-0.107,0.071,0.667,7300,1,NA
seed_claim07,plSize ~ cent + (hbeeDist + plDens),claim07_slopeCentPlSize,0.033,0.051,0.657,0.034,-0.066,0.132,0.511,11053,1,NA
seed_claim08,plSize ~ lbeeDist + (hbeeDist + plDens),claim08_slopeLbeeDistPlSize,-0.05,0.052,-0.953,-0.05,-0.154,0.053,0.3406,7328,1,NA
seed_claim09,hbeeVis ~ plDens + (cent + flDens + hbeeDist + lbeeDist),claim09_slopePlDensHbeeVis,0.236,0.292,0.808,0.232,-0.337,0.803,0.419,3334,1,NA
seed_claim10,hbeeVis ~ plSize + plDens + (cent + flDens + hbeeDist + lbeeDist),claim10_slopePlSizeHbeeVis,-2.117,1.524,-1.389,-2.06,-5.286,0.798,0.1648,310,1.023,Bad traces of field-level sigma
seed_claim11,hbeeVis ~ lbeeVis + (cent + flDens + hbeeDist + lbeeDist),claim11_slopeLbeeVisHbeeVis,-0.02,0.059,-0.344,-0.021,-0.136,0.096,0.7308,3845,1,NA
