Year,site,date,treatment,ldist,hdist,temp,windm,lbee_vis,hbee_vis,flDens,Bay
2015,Bos,7/23/2015,Standard,3,100,24,1.1,47,22,512,Female
2015,Bos,7/23/2015,Standard,3,100,24,1.1,58,18,800,Male
2015,Bos,7/23/2015,Standard,6,270,20.2,0.7,0,0,NA,Female
2015,Bos,7/23/2015,Standard,6,270,20.2,0.7,23,13,560,Male
2015,Bos,7/23/2015,Standard,46,318,22.3,0.3,1,37,236.8,Female
2015,Bos,7/23/2015,Standard,46,318,22.3,0.3,0,55,528,Male
2015,Bos,7/23/2015,Standard,65,134,23.9,1.4,2,87,710.4,Female
2015,Bos,7/23/2015,Standard,65,134,23.9,1.4,1,95,597.6,Male
2015,Emelson 1,7/20/2015,Standard,3,84,19.6,0.4,2,17,408.8,Female
2015,Emelson 1,7/20/2015,Standard,3,84,19.6,0.4,0,0,NA,Male
2015,Emelson 1,7/20/2015,Standard,5,630,20.7,0.9,0,0,1200,Female
2015,Emelson 1,7/20/2015,Standard,5,430,27.3,0.9,30,2,1482.4,Female
2015,Emelson 1,7/20/2015,Standard,5,630,20.7,0.9,2,0,1600,Male
2015,Emelson 1,7/20/2015,Standard,5,430,27.3,0.9,42,0,976.8,Male
2015,Emelson 1,7/20/2015,Standard,39,330,24.7,0.4,3,15,1865.6,Female
2015,Emelson 1,7/20/2015,Standard,39,330,24.7,0.4,3,0,1220,Male
2015,Emelson 1,7/20/2015,Standard,42,670,20,1.1,0,0,900,Female
2015,Emelson 1,7/20/2015,Standard,42,670,20,1.1,0,1,1101.6,Male
2015,Emelson 1,7/20/2015,Standard,51,81,19.4,1,0,33,1196,Female
2015,Emelson 1,7/20/2015,Standard,51,81,19.4,1,0,8,912,Male
2015,Emelson 2,7/18/2015,Standard,5,24,18.9,0.5,212,7,942.4,Female
2015,Emelson 2,7/18/2015,Standard,5,500,24.8,1,50,0,806.4,Female
2015,Emelson 2,7/18/2015,Standard,5,24,18.9,0.5,156,29,736,Male
2015,Emelson 2,7/18/2015,Standard,5,500,24.8,1,49,0,908.8,Male
2015,Emelson 2,7/18/2015,Standard,7,725,22.3,1.2,63,0,1060,Female
2015,Emelson 2,7/18/2015,Standard,7,725,22.3,1.2,43,0,496,Male
2015,Emelson 2,7/18/2015,Standard,41,220,22.8,1.2,1,7,1060,Female
2015,Emelson 2,7/18/2015,Standard,41,220,22.8,1.2,2,0,1444.8,Male
2015,Emelson 2,7/18/2015,Standard,57,560,29.4,0.3,0,5,996,Female
2015,Emelson 2,7/18/2015,Standard,57,560,29.4,0.3,0,0,1116,Male
2015,Emelson 2,7/18/2015,Standard,75,70,26.3,0.9,2,13,1447.2,Female
2015,Emelson 2,7/18/2015,Standard,75,70,26.3,0.9,3,71,554.4,Male
2015,Graham 1,7/6/2015,Double tent,3,315,22.6,1.3,41,0,720.8,Female
2015,Graham 1,7/6/2015,Double tent,3,100,24.8,0.7,8,1,633.6,Female
